教学班,培养类型,课程代码,课程名称,课程性质,课程类别,授课语言,学分,学时,教师,上课信息,选课要求,面向对象,限制对象,本科生容量/已选,研究生容量/已选,开课院系
定量生理学(二)-01班-英文,本,BMEB312,定量生理学(二) Quantitative Physiology II,必修,专业核心课,英文,3.0,48.0,陈放怡,"1-15周,星期四第3-4节 一教327 2-14双周,星期二第9-10节 一教327",,,,90 / 63,0 / 0,生物医学工程系
生物医学光学-01班-英文,本,BMEB315,生物医学光学 Biomedical Optics,必修,专业核心课,英文,2.0,32.0,吴长锋,"1-15周,星期一第3-4节 商学院102",,,,100 / 73,0 / 0,生物医学工程系
生物材料与组织工程-01班-英文,本,BMEB319,生物材料与组织工程 Biomaterials and Tissue Engineering,必修,专业核心课,英文,3.0,48.0,LI KAI,"1-15单周,星期二第9-10节 一教110 1-15周,星期四第1-2节 一教110",,,,120 / 67,0 / 0,生物医学工程系
先进电池材料-01班-中文,研,MSE5013,先进电池材料 Advanced Battery Materials,必修,专业必修课,中文,3.0,48.0,卢周广,"1-15单周,星期二第9-10节 一教108 1-15周,星期四第3-4节 一教108",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,90 / 32,材料科学与工程系
胶体与界面系统-01班-英文,研,MSE5016,胶体与界面系统 Colloidal & Interfacial Systems,选修,专业选修课,英文,3.0,48.0,何振,"1-15周,星期二第3-4节 一教124 2-12双,15周,星期五第5-6节 一教124",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,50 / 13,材料科学与工程系
先进材料表征技术-01班-英文,研,MSE5018,先进材料表征技术 Advanced Materials Characterization Techniques,选修,专业核心课,英文,3.0,48.0,于严淏,"1-15周,星期五第3-4节 一教107 2-14双周,星期四第9-10节 一教107",,,年级:2025;学院:深圳理工大学;层次:硕士;,5 / 0,160 / 111,材料科学与工程系
计算材料学-01班-英文,研,MSE5021,计算材料学 Computational Materials Science,选修,专业核心课,英文,3.0,64.0,罗光富,"1-15周,星期一第3-4节 智华楼508机房 1-15周,星期五第1-2节 智华楼508机房",,,年级:2025;学院:深圳理工大学;层次:硕士;,5 / 3,50 / 24,材料科学与工程系
先进半导体材料-01班-英文,研,MSE5031,先进半导体材料 Advanced Semiconductor Materials,选修,专业选修课,英文,3.0,48.0,王金龙,"上课信息:
1-15周,星期三第7-8节 一教125
2-14双周,星期二第5-6节 一教125",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,60 / 26,材料科学与工程系
材料表面与界面-01班-英文,研,MSE5032,材料表面与界面 Materials Surface and Interface,选修,专业核心课,英文,3.0,48.0,叶飞,"上课信息:
1-15周,星期一第9-11节 一教323",,,年级:2025;学院:深圳理工大学;层次:硕士;,10 / 0,55 / 14,材料科学与工程系
先进复合材料学-01班-中文,研,MSE5034,先进复合材料学 Advanced Composite Materials,选修,专业选修课,中文,3.0,48.0,JOKYO (徐强),"上课信息:
1-13,15周,星期三第5-6节 智华楼309
2-14双周,星期一第5-6节 智华楼309
12周,星期四第5-6节 智华楼309",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,40 / 34,化学系
超快光谱学基础-01班-英文,研,MSE5037,超快光谱学基础 Fundamentals of Ultrafast Spectroscopy,选修,专业选修课,英文,3.0,48.0,钟锦辉,"上课信息:
1-15周,星期二第7-8节 一教124
2-14双周,星期四第1-2节 一教124",,,年级:2025;学院:深圳理工大学;层次:硕士;,0 / 0,50 / 25,材料科学与工程系
粉末冶金与增材制造-01班-英文,研,MSE5039,粉末冶金与增材制造 Powder Metallurgy and Additive Manufacturing,选修,专业选修课,英文,3.0,48.0,严明,"上课信息:
1-15周,星期一第7-8节 一教124
2-14双周,星期三第3-4节 一教124",,,年级:2025;学院:深圳理工大学;层次:硕士;,5 / 0,50 / 7,材料科学与工程系
海洋科学概论-01班-双语,本,OCE100,海洋科学概论 Principles of Oceanography,必修,专业基础课,双语,3.0,48.0,徐景平,"1-11单,15周,星期三第3-4节 一教420 1-7,9-15周,星期五第3-4节 一教420 8周,星期五第3-4节 工学院南楼249实验室 14周,星期六第3-4节 一教420",,,,30 / 8,0 / 0,海洋科学与工程系
碳中和概论-01班-英文,本,OCE108,碳中和概论 Introduction to carbon neutrality,选修,专业选修课,英文,3.0,48.0,MARK JAMES HOPWOOD,"1-15周,星期二第5-6节 一教403 1-15单周,星期四第3-4节 一教403",,,,30 / 8,10 / 2,海洋科学与工程系
海洋生物学-01班-中文,本,OCE203,海洋生物学 Marine Biology,必修,专业核心课,中文,3.0,48.0,曾芝瑞,"1-15单周,星期三第5-6节 一教420 1-7,9-15周,星期五第5-6节 一教420 8周,星期一第1-2节 一教420",,,,30 / 10,0 / 0,海洋科学与工程系
智能海洋探测-01班-双语,本,OCE210,智能海洋探测 Intelligent Ocean Exploration,必修,专业基础课,双语,3.0,48.0,JIAN LIN (林间) ZHANG CHUANLUN(张传伦),"1周,星期五第9-10节 一教225 2-14双周,星期三第9-10节 一教225 2-15周,星期五第9-10节 一教225",,,,30 / 6,10 / 4,海洋科学与工程系
